"identifier	Origin	DiffAvg	definition",,,,,,,,,,
"MOD:00330	H	345.21	""A protein modification that effectively converts an L-histidine residue to a (phospho-5&apos;-guanosine)-L-histidine.""",,,,,,,,,,
"MOD:00357	H	454.33	""A protein modification that effectively converts an L-histidine residue to 1&apos;-(8alpha-FMN)-L-histidine.""",,,,,,,,,,
"MOD:00358	H	454.33	""A protein modification that effectively converts an L-histidine residue to 3&apos;-(8alpha-FMN)-L-histidine.""",,,,,,,,,,
"MOD:00281	H	616.50	""A protein modification that effectively results from forming an adduct between the pros nitrogen of a histidine residue and the porphyrin compound heme b", (7,12-diethenyl-3,8,13,17-tetramethylporphyrin-2,"18-dipropanoato)iron.""",,,,
"MOD:00334	H	616.50	""A protein modification that effectively results from forming an adduct between the tele nitrogen of a histidine residue and the porphyrin compound heme b", (7,12-diethenyl-3,8,13,17-tetramethylporphyrin-2,"18-dipropanoato)iron.""",,,,
"MOD:01145	H	684.51	""A protein modification that effectively converts an L-histidine residue to N-tau-(ADP-ribosyl)diphthamide.""",,,,,,,,,,
"MOD:00153	H	783.54	""A protein modification that effectively converts an L-histidine residue to 3&apos;-(8alpha-FAD)-L-histidine.""",,,,,,,,,,
"MOD:00226	H	783.54	""A protein modification that effectively converts an L-histidine residue to 1&apos;-(8alpha-FAD)-L-histidine.""",,,,,,,,,,
"MOD:01640	I	-113.16	""A protein modification that effectively removes or replaces an L-isoleucine.""",,,,,,,,,,
"MOD:00099	I	-0.98	""A protein modification that effectively converts an L-isoleucine residue to L-isoleucine amide.""",,,,,,,,,,
"MOD:01333	I	6.02	""A protein modification that effectively converts an L-isoleucine residue to 6x(13)C labeled L-isoleucine.""",,,,,,,,,,
"MOD:01286	I	7.02	""A protein modification that effectively converts an L-isoleucine residue to 6x(13)C","1x(15)N isotope labeled L-isoleucine.""",,,,,,,,,
"MOD:01897	I	13.98	""A protein modification that effectively converts an L-isoleucine residue to 5-hydroxy-3-methyl-L-proline.""",,,,,,,,,,
"MOD:00341	I	14.03	""A protein modification that effectively converts an L-isoleucine residue to N-methyl-L-isoleucine.""",,,,,,,,,,
"MOD:01377	I	16.00	""A protein modification that effectively converts an L-isoleucine residue to a (2S",3R,"4S)-4-hydroxyisoleucine.""",,,,,,,,
"MOD:01415	I	16.00	""A protein modification that effectively converts an L-isoleucine residue to a monohydroxylated isoleucine.""",,,,,,,,,,
"MOD:01376	I	32.00	""A protein modification that effectively converts an L-isoleucine residue to a (2S",3S,4R)-3,"4-dihydroxyisoleucine.""",,,,,,,
"MOD:01378	I	32.00	""A protein modification that effectively converts an L-isoleucine residue to a (2S",3R,4R)-4,"5-dihydroxyisoleucine.""",,,,,,,
"MOD:01416	I	32.00	""A protein modification that effectively converts an L-isoleucine residue to a dihydroxylated isoleucine.""",,,,,,,,,,
"MOD:00056	I	42.04	""A protein modification that effectively converts an L-isoleucine residue to N-acetyl-L-isoleucine.""",,,,,,,,,,
"MOD:01642	K	-128.18	""A protein modification that effectively removes or replaces an L-lysine.""",,,,,,,,,,
"MOD:01022	K	-17.03	""A protein modification that effectively converts an L-lysine residue to 2-piperidinecarboxylic acid.""",,,,,,,,,,
"MOD:00130	K	-1.03	""A protein modification that effectively converts an L-lysine residue to L-allysine.""",,,,,,,,,,
"MOD:00223	K	-1.01	""A protein modification that effectively converts an L-lysine residue to N6-mureinyl-L-lysine.""",,,,,,,,,,
"MOD:00101	K	-0.98	""A protein modification that effectively converts an L-lysine residue to L-lysine amide.""",,,,,,,,,,
"MOD:00854	K	1.01	""A protein modification that effectively converts an L-lysine to L-lysinium (protonated L-lysine).""",,,,,,,,,,
"MOD:01603	K	1.99	""A protein modification that effectively converts an L-lysine residue to 2x(15)N labeled L-lysine.""",,,,,,,,,,
"MOD:00942	K	4.03	""A protein modification that effectively substitutes four (1)H protium atoms with four (2)H deuterium atoms to produce (4",4,5,"5-(2)H4)-L-lysine.""",,,,,,,
"MOD:01334	K	6.02	""A protein modification that effectively converts an L-lysine residue to 6x(13)C labeled L-lysine.""",,,,,,,,,,
"MOD:00582	K	8.01	""A protein modification that effectively converts an L-lysine residue to 6x(13)C","2x(15)N labeled L-lysine.""",,,,,,,,,
"MOD:00964	K	12.01	""modification from DeltaMass""",,,,,,,,,,
"MOD:00085	K	14.03	""A protein modification that effectively converts an L-lysine residue to N6-methyl-L-lysine.""",,,,,,,,,,
"MOD:00323	K	14.03	""A protein modification that effectively converts an L-lysine residue to L-lysine methyl ester.""",,,,,,,,,,
"MOD:01683	K	14.03	""A protein modification that effectively replaces one hydrogen atom of an L-lysine residue with one methyl group.""",,,,,,,,,,
"MOD:00131	K	14.97	""A protein modification that effectively converts an L-lysine residue to L-2-aminoadipic acid.""",,,,,,,,,,
"MOD:00037	K	16.00	""A protein modification that effectively converts an L-lysine  residue to one of the diastereomeric 5-hydroxy-L-lysine  residues.""",,,,,,,,,,
"MOD:00240	K	16.00	""A protein modification that effectively converts an L-lysine residue to 4-hydroxy-L-lysine.""",,,,,,,,,,
"MOD:01047	K	16.00	""A protein modification that effectively converts an L-lysine residue to a monohydroxylated lysine.""",,,,,,,,,,
"MOD:01918	K	16.00	""A protein modification that effectively converts an L-lysine residue to (2S","5S)-5-hydroxylysine.""",,,,,,,,,
"MOD:01925	K	16.00	""A protein modification that effectively converts an L-lysine residue to (2S","5R)-5-hydroxylysine.""",,,,,,,,,
"MOD:00604	K	16.03	""A protein modification that effectively converts an L-lysine residue to 2x(2)H labeled monomethylated L-lysine.""",,,,,,,,,,
"MOD:01325	K	26.04	""modification from UniMod Other -""",,,,,,,,,,
"MOD:00216	K	28.01	""A protein modification that effectively converts an L-lysine residue to N6-formyl-L-lysine.""",,,,,,,,,,
"MOD:00084	K	28.05	""A protein modification that effectively converts an L-lysine residue to N6","N6-dimethyl-L-lysine.""",,,,,,,,,
"MOD:01289	K	28.05	""modification from UniMod Other -""",,,,,,,,,,
"MOD:01338	K	28.05	""A protein modification that effectively converts an L-lysine residue to N6-ethyl-L-lysine.""",,,,,,,,,,
"MOD:00375	K	32.00	""A protein modification that effectively converts an L-lysine residue to 4","5-dihydroxy-L-lysine.""",,,,,,,,,
"MOD:01254	K	32.06	""A protein modification that effectively converts an L-lysine residue to 4x(2)H labeled dimethylated L-lysine.""",,,,,,,,,,
"MOD:01357	K	34.06	""A protein modification that effectively replaces two hydrogen atoms of an L-lysine residue containing common isotopes with two (13)C",3x(2)H labeled methyl groups to form a 2x(13)C,"6x(2)H labeled dimethylated L-lysine.""",,,,,,,,
"MOD:01670	K	34.44	""A protein modification that effectively converts an L-lysine residue to N6-methyl-L-lysine.""",,,,,,,,,,
"MOD:00558	K	38.05	""modification from UniMod Other""",,,,,,,,,,
"MOD:01322	K	40.06	""modification from UniMod Other -""",,,,,,,,,,
"MOD:01353	K	41.05	""modification from UniMod Chemical derivative -""",,,,,,,,,,
"MOD:00057	K	42.04	""A protein modification that effectively converts an L-lysine residue to N2-acetyl-L-lysine.""",,,,,,,,,,
"MOD:00064	K	42.04	""A protein modification that effectively converts an L-lysine residue to N6-acetyl-L-lysine.""",,,,,,,,,,
"MOD:00445	K	42.04	""A protein modification that effectively converts an L-lysine residue to L-homoarginine"," such as reaction with O-methylisourea.""",,,,,,,,,
"MOD:00723	K	42.04	""A protein modification that effectively converts an L-lysine residue to either N2-acetyl-L-lysine"," or N6-acetyl-L-lysine.""",,,,,,,,,
"MOD:01678	K	43.02	""A protein modification that effectively coverts L-lysine to N6-carbamoyl-L-lysine.""",,,,,,,,,,
"MOD:00083	K	43.09	""A protein modification that effectively converts an L-lysine residue to N6",N6,"N6-trimethyl-L-lysine.""",,,,,,,,
"MOD:00123	K	44.01	""A protein modification that effectively converts an L-lysine residue to N6-carboxy-L-lysine.""",,,,,,,,,,
"MOD:01233	K	45.03	""A protein modification that effectively converts an L-lysine residue to 3x(2)H labeled N6-acetyl-L-lysine.""",,,,,,,,,,
"MOD:01965	K	47.04	""A protein modification that effectively converts an L-lysine residue to 2xC(13)","3x(2)H labeled N6-acetyl-L-lysine.""",,,,,,,,,
"MOD:01253	K	54.05	""modification from UniMod Chemical derivative - Malondialdehyde (MDA) adduct""",,,,,,,,,,
"MOD:01232	K	56.03	""A protein modification that effectively converts an L-lysine residue to 3x(12)C labeled N6-propanoyl-L-lysine.""",,,,,,,,,,
"MOD:01283	K	56.06	""modification from UniMod Other -""",,,,,,,,,,
"MOD:01398	K	56.06	""A protein modification that effectively converts an L-lysine residue to N6-propanoyl-L-lysine.""",,,,,,,,,,
"MOD:01212	K	57.05	""A protein modification that effectively converts an L-lysine residue to N6-(carboxamidomethyl)lysine.""",,,,,,,,,,
"MOD:01094	K	58.04	""A protein modification that effectively converts an L-lysine residue to N6-carboxymethyl-L-lysine.""",,,,,,,,,,
"MOD:00452	K	59.04	""A protein modification that effectively replaces a residue alpha-amino- or alpha-imino-hydrogen with a 3x(13)C-labeled propanoyl group.""",,,,,,,,,,
"MOD:01231	K	59.04	""A protein modification that effectively converts an L-lysine residue to 3x(13)C labeled N6-propanoyl-L-lysine.""",,,,,,,,,,
"MOD:01310	K	59.07	""A protein modification that effectively replaces a lysine N6-hydrogen with a quaternary amine reagent light form group.""",,,,,,,,,,
"MOD:00364	K	59.09	""A protein modification that effectively converts an L-lysine residue to 5-hydroxy-N6",N6,"N6-trimethyl-L-lysine.""",,,,,,,,
"MOD:00629	K	62.07	""modification from UniMod Chemical derivative""",,,,,,,,,,
"MOD:01311	K	62.09	""A protein modification that effectively replaces a lysine N6-hydrogen with a quaternary amine reagent heavy (+3amu) form group.""",,,,,,,,,,
"MOD:01312	K	65.11	""A protein modification that effectively replaces a lysine N6-hydrogen with a quaternary amine reagent heavy (+6amu) form group.""",,,,,,,,,,
"MOD:00472	K	68.04	""modification from UniMod Isotopic label""",,,,,,,,,,
"MOD:01892	K	68.07	""A protein modification that effectively converts an L-lysine residue to N6-crotonyl-L-lysine.""",,,,,,,,,,
"MOD:01313	K	68.13	""A protein modification that effectively replaces a lysine N6-hydrogen with a quaternary amine reagent heavy (+9amu) form group.""",,,,,,,,,,
"MOD:00292	K	70.05	""A protein modification that effectively converts an L-lysine residue to N6-pyruvic acid 2-iminyl-L-lysine.""",,,,,,,,,,
"MOD:01278	K	70.09	""modification from UniMod Other -""",,,,,,,,,,
"MOD:01781	K	70.09	""A protein modification that effectively converts an L-lysine residue to N6-butanoyl-L-lysine.""",,,,,,,,,,
"MOD:01880	K	71.12	""modification from RESID""",,,,,,,,,,
"MOD:00124	K	72.06	""A protein modification that effectively converts an L-lysine residue to N6-1-carboxyethyl-L-lysine.""",,,,,,,,,,
"MOD:00473	K	72.06	""modification from UniMod Isotopic label""",,,,,,,,,,
"MOD:00559	K	76.10	""modification from UniMod Other""",,,,,,,,,,
"MOD:00627	K	78.11	""modification from UniMod Chemical derivative""",,,,,,,,,,
"MOD:01931	K	79.98	""A protein modification that effectively converts an L-lysine residue to N6-phospho-L-lysine.""",,,,,,,,,,
"MOD:01893	K	86.05	""A protein modification that effectively converts an L-lysine residue to N6-malonyl-L-lysine.""",,,,,,,,,,
"MOD:01838	K	87.08	""A protein modification that effectively converts an L-lysine residue to L-lysinoalanine.""",,,,,,,,,,
"MOD:00125	K	87.12	""A protein modification that effectively converts an L-lysine residue to hypusine"," N6-(4-amino-2-hydroxybutyl)-L-lysine.""",,,,,,,,,
"MOD:00497	K	88.12	""modification from UniMod [(35)S]dithiobis(succinimidyl propionate) crosslinking""",,,,,,,,,,
"MOD:01224	K	88.12	""modification from UniMod Other -""",,,,,,,,,,
"MOD:00556	K	94.11	""modification from UniMod Other""",,,,,,,,,,
"MOD:01314	K	100.02	""A protein modification that effectively converts an L-lysine residue to 4x(1)H","4x(12)C-labeled N6-succinyl-L-lysine.""",,,,,,,,,
"MOD:01819	K	100.07	""A protein modification that effectively converts an L-lysine residue to N6-succinyl-L-lysine.""",,,,,,,,,,
"MOD:01316	K	104.03	""A protein modification that effectively converts an L-lysine residue to 4x(13)C labeled N6-succinyl-L-lysine.""",,,,,,,,,,
"MOD:01315	K	104.04	""A protein modification that effectively converts an L-lysine residue to 4x(2)H-labeled N6-succinyl-L-lysine.""",,,,,,,,,,
"MOD:01195	K	104.11	""modification from UniMod Isotopic label -""",,,,,,,,,,
"MOD:01230	K	105.02	""modification from UniMod Isotopic label -""",,,,,,,,,,
"MOD:01112	K	105.10	""modification from DeltaMass""",,,,,,,,,,
"MOD:01359	K	109.05	""modification from UniMod Isotopic label - Use when labelling post-digest""",,,,,,,,,,
"MOD:00326	K	109.13	""A protein modification that effectively converts an L-lysine residue to L-pyrrolysine (not known as a natural"," post-translational modification process).""",,,,,,,,,
"MOD:01287	K	111.04	""modification from UniMod Isotopic label -""",,,,,,,,,,
"MOD:01259	K	111.10	""modification from UniMod Chemical derivative -""",,,,,,,,,,
"MOD:00560	K	112.13	""modification from UniMod Other""",,,,,,,,,,
"MOD:00492	K	114.10	""A protein modification that crosslinks the N6-amino of a peptidyl lysine with the carboxyl of glycylglycine"," the two glycine residues left after tryptic digestion of ubiquitin.""",,,,,,,,,
"MOD:01203	K	119.12	""A protein modification that effectively converts an L-lysine residue to N6-[(pyrid-3-yl)acetyl]lysine.""",,,,,,,,,,
"MOD:01774	K	126.20	""A protein modification that effectively converts an L-lysine residue to N6-octanoyl-L-lysine.""",,,,,,,,,,
"MOD:01211	K	127.14	""A protein modification that effectively converts an L-lysine residue to N6-(morpholine-2-acetyl)-lysine.""",,,,,,,,,,
"MOD:01779	K	128.18	""A protein modification that effectively converts an L-lysine residue to N6-(L-lysyl)-L-lysine by formation of an isopeptide bond between the carboxyl group of a free lysine and the N6-amino group of the peptidyl L-lysine.""",,,,,,,,,,
"MOD:01866	K	140.09	""A protein modification that effectively replaces the N6-amino hydrogen atom of a lysine residue with the Applied Biosystems mTRAQ light reporter+balance group.""",,,,,,,,,,
"MOD:01350	K	143.14	""modification from UniMod Chemical derivative -""",,,,,,,,,,
"MOD:01494	K	144.10	""A protein modification that effectively replaces the N6&apos;-hydrogen atom of a lysine residue with the Applied Biosystems iTRAQ4plex-115 reporter+balance group.""",,,,,,,,,,
"MOD:01501	K	144.10	""A protein modification that effectively replaces the N6&apos;-hydrogen atom of a lysine residue with the Applied Biosystems iTRAQ4plex-116 reporter+balance group.""",,,,,,,,,,
"MOD:01508	K	144.10	""A protein modification that effectively replaces the N6-hydrogen atom of a lysine residue with the Applied Biosystems iTRAQ4plex-117 reporter+balance group.""",,,,,,,,,,
"MOD:01487	K	144.11	""A protein modification that effectively replaces the N6&apos;-hydrogen atom of a lysine residue with the Applied Biosystems iTRAQ4plex-114 reporter+balance group.""",,,,,,,,,,
"MOD:01780	K	144.17	""A protein modification that effectively converts an L-lysine residue to N6-(beta-lysyl)-L-5-hydroxylysine by formation of an isopeptide bond between the carboxyl group of a free beta-lysine and the N6-amino group of a peptidyl L-lysine.""",,,,,,,,,,
"MOD:01251	K	145.18	""A protein modification that effectively converts an L-lysine residue to N6-[3-(carboxamidomethylthio)propanoyl]lysine.""",,,,,,,,,,
"MOD:01238	K	156.22	""A protein modification produced by formation of an adduct of an L-lysine residue with 4-hydroxynonenal.""",,,,,,,,,,
"MOD:01299	K	158.24	""A protein modification produced by formation of an adduct of an L-histidine residue with 4-hydroxynonenal artificially reduced by a reagent such as NaBH4.""",,,,,,,,,,
"MOD:01304	K	161.16	""A protein modification that effectively converts an L-lysine residue to an N4-hexosaminyl-L-lysine"," as a synthetic peptide protectting group.""",,,,,,,,,
"MOD:01124	K	162.14	""modification from DeltaMass""",,,,,,,,,,
"MOD:01347	K	162.14	""A modification produced in a non-enzymatic reaction between a carbohydrate carbonyl group (C1 of aldohexose or C2 of fructose) and an L-lysine residue to form a Schiff-base or an Amadori ketosamine lysine adduct.""",,,,,,,,,,
"MOD:01973	K	168.04	""A protein modification that effectively converts an L-lysine residue to N6-(3-phosphoglyceryl)-L-lysine.""",,,,,,,,,,
"MOD:01257	K	170.17	""modification from UniMod Chemical derivative -""",,,,,,,,,,
"MOD:01467	K	170.17	""modification from UniMod Chemical derivative""",,,,,,,,,,
"MOD:01914	K	178.14	""A protein modification that effectively converts an L-lysine residue to O5-galactosyl-L-hydroxylysine.""",,,,,,,,,,
"MOD:01935	K	178.14	""modification from RESID""",,,,,,,,,,
"MOD:01275	K	183.23	""A protein modification that is produced by formation of an adduct with 4-(2-aminoethyl)benzenesulfonyl fluoride", AEBS," and an L-lysine residue.""",,,,,,,,
"MOD:00127	K	188.30	""A protein modification that effectively converts an L-lysine residue to N6-lipoyl-L-lysine.""",,,,,,,,,,
"MOD:01201	K	192.17	""A protein modification that effectively converts an L-lysine residue to N6-heptosyl-L-lysine.""",,,,,,,,,,
"MOD:00087	K	210.36	""A protein modification that effectively converts an L-lysine residue to N6-myristoyl-L-lysine.""",,,,,,,,,,
"MOD:01360	K	215.24	""A protein modification that effectively converts an L-lysine residue to the 4-sulfophenyl isothiocyanate adduct"," N6-[(4-sulfophenyl)carbamothioyl]lysine.""",,,,,,,,,
"MOD:01320	K	218.34	""modification from UniMod Other""",,,,,,,,,,
"MOD:01335	K	220.99	""modification from UniMod Chemical derivative -""",,,,,,,,,,
"MOD:01272	K	225.31	""modification from UniMod Chemical derivative -""",,,,,,,,,,
"MOD:00126	K	226.29	""A protein modification that effectively converts an L-lysine residue to N6-biotinyl-L-lysine.""",,,,,,,,,,
"MOD:00128	K	229.13	""A protein modification that effectively converts an L-lysine residue to N6-pyridoxal phosphate-L-lysine.""",,,,,,,,,,
"MOD:01722	K	229.16	""A protein modification that effectively replaces the N6&apos;-hydrogen atom of a lysine residue with the Proteome Sciences TMT6plex-126 reporter+balance group.""",,,,,,,,,,
"MOD:01730	K	229.16	""A protein modification that effectively replaces the N6&apos;-hydrogen atom of a lysine residue with the Proteome Sciences TMT6plex-127 reporter+balance group.""",,,,,,,,,,
"MOD:01738	K	229.16	""A protein modification that effectively replaces the N6&apos;-hydrogen atom of a lysine residue with the Proteome Sciences TMT6plex-128 reporter+balance group.""",,,,,,,,,,
"MOD:01746	K	229.16	""A protein modification that effectively replaces the N6&apos;-hydrogen atom of a lysine residue with the Proteome Sciences TMT6plex-129 reporter+balance group.""",,,,,,,,,,
"MOD:01754	K	229.16	""A protein modification that effectively replaces the N6&apos;-hydrogen atom of a lysine residue with the Proteome Sciences TMT6plex-130 reporter+balance group.""",,,,,,,,,,
"MOD:01762	K	229.16	""A protein modification that effectively replaces the N6&apos;-hydrogen atom of a lysine residue with the Proteome Sciences TMT6plex-131 reporter+balance group.""",,,,,,,,,,
"MOD:01654	K	233.29	""A protein modification that is produced by reaction with 5-dimethylaminonaphthalene-1-sulfonyl chloride", dansyl chloride," to form N6-Dansyl-lysine.""",,,,,,,,
"MOD:01836	K	237.17	""A protein modification that effectively converts an L-lysine residue to N6-[([1-(6-nitro-2H-1","3-benzodioxol-5-yl)ethoxy]carbonyl]lysine.""",,,,,,,,,
"MOD:00086	K	238.41	""A protein modification that effectively converts an L-lysine residue to N6-palmitoyl-L-lysine.""",,,,,,,,,,
"MOD:00573	K	241.31	""modification from UniMod Chemical derivative""",,,,,,,,,,
"MOD:00593	K	253.25	""modification from UniMod Chemical derivative""",,,,,,,,,,
"MOD:00317	K	264.41	""A protein modification that effectively converts an L-lysine residue to N6-3","4-didehydroretinylidene-L-lysine.""",,,,,,,,,
"MOD:01936	K	264.45	""A protein modification that effectively converts an L-lysine residue to N6-oleoyl-L-lysine.""",,,,,,,,,,
"MOD:01137	K	266.36	""A protein modification that is produced by reaction of a lysine residue with 2",2,5,7,8-pentamethylchroman-6-sulfonyl chloride, Pmc chloride, to form N6-(2,2,5,7,"8-pentamethylchroman-6-sulfonyl)-L-lysine."""
"MOD:00129	K	266.43	""A protein modification that effectively converts an L-lysine residue to N6-retinylidene-L-lysine"," the adduct of retinal.""",,,,,,,,,
"MOD:01999	K	266.43	""A protein modification that effectively converts an L-lysine residue to N6-retinylidene-(11-cis)-L-lysine.""",,,,,,,,,,
"MOD:02000	K	266.43	""A protein modification that effectively converts an L-lysine residue to N6-retinylidene-L-lysine (unspecified geometric isomer).""",,,,,,,,,,
"MOD:01657	K	287.34	""A protein modification that is produced by reaction with 4-(4-dimethylaminophenylazo)benzenesulfonyl chloride", dabsyl chloride," to form N6-Dabsyl-lysine.""",,,,,,,,
"MOD:01544	K	304.20	""A protein modification that effectively replaces the N6&apos;-hydrogen atom of a lysine residue with the Applied Biosystems iTRAQ8plex-115 reporter+balance group.""",,,,,,,,,,
"MOD:01565	K	304.20	""A protein modification that effectively replaces the N6&apos;-hydrogen atom of a lysine residue with the Applied Biosystems iTRAQ8plex-118 reporter+balance group.""",,,,,,,,,,
"MOD:01572	K	304.20	""A protein modification that effectively replaces the N6&apos;-hydrogen atom of a lysine residue with the Applied Biosystems iTRAQ8plex-119 reporter+balance group.""",,,,,,,,,,
"MOD:01579	K	304.20	""A protein modification that effectively replaces the N6&apos;-hydrogen atom of a lysine residue with the Applied Biosystems iTRAQ8plex-121 reporter+balance group.""",,,,,,,,,,
"MOD:01530	K	304.21	""A protein modification that effectively replaces the N6&apos;-hydrogen atom of a lysine residue with the Applied Biosystems iTRAQ8plex-113 reporter+balance group.""",,,,,,,,,,
"MOD:01537	K	304.21	""A protein modification that effectively replaces the N6&apos;-hydrogen atom of a lysine residue with the Applied Biosystems iTRAQ8plex-114 reporter+balance group.""",,,,,,,,,,
"MOD:01551	K	304.21	""A protein modification that effectively replaces the N6&apos;-hydrogen atom of a lysine residue with the Applied Biosystems iTRAQ8plex-116 reporter+balance group.""",,,,,,,,,,
"MOD:01558	K	304.21	""A protein modification that effectively replaces the N6&apos;-hydrogen atom of a lysine residue with the Applied Biosystems iTRAQ8plex-117 reporter+balance group.""",,,,,,,,,,
"MOD:00232	K	329.21	""A protein modification that effectively crosslinks an L-lysine residue and 5&apos;-phosphoadenosine through a phosphoramide ester bond to form N6-(phospho-5&apos;-adenosine)-L-lysine.""",,,,,,,,,,
"MOD:01341	K	338.47	""modification from UniMod Isotopic label -""",,,,,,,,,,
"MOD:00162	K	340.28	""A protein modification that effectively converts an L-lysine residue to O5-glucosylgalactosyl-L-hydroxylysine.""",,,,,,,,,,
"MOD:00929	K	342.30	""A modification produced in a non-enzymatic reaction between a lactose carbonyl group and an L-lysine to form a Schiff-base or an Amadori ketosamine lysine adduct.""",,,,,,,,,,
"MOD:00233	K	345.21	""A protein modification that effectively crosslinks an L-lysine residue and 5&apos;-phosphoguanosine through a phosphoramide ester bond to form N6-(phospho-5&apos;-guanosine)-L-lysine.""",,,,,,,,,,
"MOD:01340	K	348.24	""modification from UniMod Isotopic label -""",,,,,,,,,,
"MOD:00485	K	352.45	""modification from UniMod Chemical derivative""",,,,,,,,,,
"MOD:00484	K	354.47	""modification from UniMod Chemical derivative""",,,,,,,,,,
"MOD:01263	K	362.38	""modification from UniMod Chemical derivative -""",,,,,,,,,,
"MOD:01267	K	380.39	""modification from UniMod Chemical derivative -""",,,,,,,,,,
"MOD:01240	K	383.45	""A protein modification that crosslinks the N6-amino of a peptidyl lysine with the carboxyl of leucyl-arginyl-glycyl-glycine"," the C-terminal tetrapeptide of ubiquitin.""",,,,,,,,,
"MOD:01667	K	410.42	""A protein modification that is produced by formation of an adduct with epicocconone.""",,,,,,,,,,
"MOD:01366	K	421.43	""modification from UniMod Chemical derivative -""",,,,,,,,,,
"MOD:00283	K	426.74	""A protein modification that effectively converts an L-lysine residue to an N6-propylamino-poly(propylmethylamino)-propyldimethylamine-L-lysine.""",,,,,,,,,,
"MOD:01887	K	484.50	""A protein modification that is produced by reaction with 1-amino-4-{[3-(ethenylsulfonyl)phenyl]amino}-9",10-dioxo-9,10-dihydroanthracene-2-sulfonate, Uniblue A," to form Uniblue A lysine adduct.""",,,,,,
"MOD:01399	K	541.30	""A protein modification that effectively converts an L-lysine residue to an N6-(ADP-ribosyl)-L-lysine.""",,,,,,,,,,
"MOD:01400	K	541.30	""A protein modification that effectively converts an L-lysine residue to an L-lysyl-poly(ADP-ribose).""",,,,,,,,,,
"MOD:01641	L	-113.16	""A protein modification that effectively removes or replaces an L-leucine.""",,,,,,,,,,
"MOD:00100	L	-0.98	""A protein modification that effectively converts an L-leucine residue to L-leucine amide.""",,,,,,,,,,
"MOD:00838	L	3.02	""A protein modification that effectively substitutes three (1)H protium atoms with three (2)H deuterium atoms to produce 3x(2)H labeled L-leucine.""",,,,,,,,,,
"MOD:01332	L	6.02	""A protein modification that effectively converts an L-leucine residue to 6x(13)C labeled L-leucine.""",,,,,,,,,,
"MOD:01285	L	7.02	""A protein modification that effectively converts an L-leucine residue to 6x(13)C","1x(15)N isotope labeled L-leucine.""",,,,,,,,,
"MOD:01374	L	13.98	""A modification that effectively oxygenates C5 of an L-leucine residue to form a (2S","4R)-5-oxoleucine.""",,,,,,,,,
"MOD:00304	L	14.03	""A protein modification that effectively converts an L-leucine residue to L-leucine methyl ester.""",,,,,,,,,,
"MOD:00342	L	14.03	""A protein modification that effectively converts an L-leucine residue to N-methyl-L-leucine.""",,,,,,,,,,
"MOD:01372	L	16.00	""A protein modification that effectively converts an L-leucine residue to a (2S)-4-hydroxyleucine.""",,,,,,,,,,
"MOD:01373	L	16.00	""A protein modification that effectively converts an L-leucine residue to a (2S","4R)-5-hydroxyleucine.""",,,,,,,,,
"MOD:01411	L	16.00	""A protein modification that effectively converts an L-leucine residue to a monohydroxylated leucine.""",,,,,,,,,,
"MOD:01806	L	28.05	""A protein modification that effectively converts an L-leucine residue to N","N-dimethyl-L-leucine.""",,,,,,,,,
"MOD:01375	L	32.00	""A protein modification that effectively converts an L-leucine residue to a (2S",4R)-4,"5-dihydroxyleucine.""",,,,,,,,
"MOD:01412	L	32.00	""A protein modification that effectively converts an L-leucine residue to a dihydroxylated leucine.""",,,,,,,,,,
"MOD:01432	L	32.00	""A protein modification that effectively converts an L-leucine residue to a (2S",4S)-4,"5-dihydroxyleucine.""",,,,,,,,
"MOD:00782	L	42.04	""A protein modification that effectively converts an L-leucine residue to N-acetyl-L-leucine.""",,,,,,,,,,
"MOD:01403	L	48.00	""A protein modification that effectively converts an L-leucine residue to a (2S)-4",5,"5&apos;-trihydroxyleucine.""",,,,,,,,
"MOD:01413	L	48.00	""A protein modification that effectively converts an L-leucine residue to a trihydroxylated leucine.""",,,,,,,,,,
"MOD:01643	M	-131.19	""A protein modification that effectively removes or replaces an L-methionine.""",,,,,,,,,,
"MOD:00768	M	-80.10	""Oxidation of methionine to methionine sulfone with neutral loss of CH3SO2H.""",,,,,,,,,,
"MOD:00935	M	-64.10	""Oxidation of methionine to methionine sulfoxide with neutral loss of CH3SOH.""",,,,,,,,,,
"MOD:00404	M	-48.10	""A protein modification that effectively converts an L-methionine residue to homoserine lactone.""",,,,,,,,,,
"MOD:01204	M	-48.10	""modification from UniMod Artifact -""",,,,,,,,,,
"MOD:01704	M	-48.10	""A protein modification that effectively converts an L-methionine residue to dehydrobutyrine"," by neutral loss of methyl sulfide.""",,,,,,,,,
"MOD:00403	M	-30.09	""A protein modification that effectively converts an L-methionine residue to homoserine.""",,,,,,,,,,
"MOD:00956	M	-18.03	""modification from DeltaMass""",,,,,,,,,,
"MOD:01906	M	-1.01	""A protein modification that effectively converts an L-methionine residue to dehydromethionine.""",,,,,,,,,,
"MOD:00102	M	-0.98	""A protein modification that effectively converts an L-methionine residue to L-methionine amide.""",,,,,,,,,,
"MOD:01464	M	1.01	""A protein modification that effectively converts an L-methionine residue to an L-methioninium (protonated L-methionine).""",,,,,,,,,,
"MOD:01795	M	4.02	""A protein modification that effectively converts an L-methionine residue containing common isotopes to 1x(13)C","3x(2)H C(6)-labeled L-methionine.""",,,,,,,,,
